"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu"
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2006;NA;NA;NA;NA;NA;64257;35153;25441;3663;4253;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2007;NA;NA;NA;NA;NA;62235;33913;24890;3432;4360;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2008;NA;NA;NA;NA;NA;60729;32973;24416;3340;4461;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2009;NA;NA;NA;NA;NA;61907;33381;25153;3373;4081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2010;NA;2897;NA;NA;NA;61202;33624;24345;3233;3948;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2011;NA;2912;NA;NA;NA;60667;33188;24155;3324;4128;NA;NA;NA;NA;NA;556556922,4;462726005,61;477691313,52;26987797,51;5693088,33;53945917,75;NA;NA;NA;NA;NA;0,858297317478482;9705,75174650786;444,851360871644;NA;NA;NA;NA;8330,42068813979
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2012;3979;2906;2671;858;175;58679;32648;23046;2985;3740;NA;NA;NA;NA;NA;574053267,1;476387556,523274;485077693,87;28563424,96;8764009,77;37526085,76;NA;NA;NA;NA;NA;0,845004674079312;10307,2730832765;486,774228599669;3281,17175964058;5,53201422056236;NA;NA;8709,69393238051
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2013;3953;2916;2662;848;149;58728;32611;23169;2948;3629;NA;NA;NA;NA;NA;585401349,7;482518659,465107;483482803,5;29567960,34;20389569,98;76234285,03;NA;NA;NA;NA;NA;0,825899707521634;10494,8252007888;503,472965876584;7659,49285499624;5,49480100394407;NA;NA;8667,67306382216
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2014;4007;2922;2675;884;162;60984;34143;23935;2906;3425;NA;NA;NA;NA;NA;604056601;495390996;490089573;27489067,45;44261541,89;35506674;NA;NA;NA;NA;NA;0,811330547814012;10400,7817245773;450,758681785386;16546,3708;5,31010021006233;NA;NA;8438,47193429526
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2015;4114;2890;2541;976;54;62175;34170;25109;2896;3558;3383;855;764;1764;2345;612857975;499856820;490662169;NA;NA;72925220;NA;NA;NA;NA;NA;0,800613174691902;10338,534303885;NA;NA;4,96634558612662;0,69827931172469;0,45124716553288;8277,16677069451
