UAI,Etablissement,Type,Groupe,PerimEx,Association,Comparable
0134009M,Aix-Marseille Université,Université,Universités et assimilés,IDEx,Udice,TRUE
0840685N,Avignon Université,Université,Universités et assimilés,,AUREF,TRUE
9760358K,Centre universitaire de Mayotte,Autre établissement,Universités et assimilés,,,FALSE
0952259P,CY Cergy Paris Université,Université,Universités et assimilés,ISITE,,FALSE
0171463Y,La Rochelle Université,Université,Universités et assimilés,,AUREF,TRUE
0720916E,Le Mans Université,Université,Universités et assimilés,,AUREF,TRUE
0442953W,Nantes Université,Université,Universités et assimilés,ISITE,,TRUE
0755890V,Sorbonne Université,Université,Universités et assimilés,IDEx,Udice,TRUE
0331766R,Université Bordeaux Montaigne,Université,Universités et assimilés,,AUREF,TRUE
0561718N,Université Bretagne Sud,Université,Universités et assimilés,,AUREF,TRUE
0691774D,Université Claude Bernard - Lyon 1,Université,Universités et assimilés,IDEx,Udice,TRUE
0632084Y,Université Clermont Auvergne,Université,Universités et assimilés,ISITE,,TRUE
0062205P,Université Côte d'Azur,Université,Universités et assimilés,IDEx,Udice,TRUE
0490970N,Université d'Angers,Université,Universités et assimilés,,AUREF,TRUE
0623957P,Université d'Artois,Université,Universités et assimilés,,AUREF,TRUE
0911975C,Université d'Évry-Val-d'Essonne,Université,Universités et assimilés,,,FALSE
0450855K,Université d'Orléans,Université,Universités et assimilés,,,TRUE
0333298F,Université de Bordeaux,Université,Universités et assimilés,IDEx,Udice,TRUE
0211237F,Université de Bourgogne,Université,Universités et assimilés,ISITE,,TRUE
0290346U,Université de Bretagne Occidentale,Université,Universités et assimilés,,,TRUE
0141408E,Université de Caen Normandie,Université,Universités et assimilés,,AUREF,TRUE
7200664J,Université de Corse Pasquale Paoli,Université,Universités et assimilés,,AUREF,FALSE
0251215K,Université de Franche-Comté,Université,Universités et assimilés,ISITE,,TRUE
9730429D,Université de Guyane,Université,Universités et assimilés,,,FALSE
0681166Y,Université de Haute-Alsace,Université,Universités et assimilés,,AUREF,FALSE
9830445S,Université de la Nouvelle-Calédonie,Université,Universités et assimilés,,,FALSE
9840349G,Université de la Polynésie Française,Université,Universités et assimilés,,,FALSE
9740478B,Université de La Réunion,Université,Universités et assimilés,,AUREF,FALSE
0597239Y,Université de Lille,Université,Universités et assimilés,ISITE,ex CURIF,TRUE
0870669E,Université de Limoges,Université,Universités et assimilés,,AUREF,TRUE
0542493S,Université de Lorraine,Grand établissement,Universités et assimilés,ISITE,ex CURIF,TRUE
0342490X,Université de Montpellier,Université,Universités et assimilés,ISITE,ex CURIF,TRUE
0301687W,Université de Nîmes,Université,Universités et assimilés,,AUREF,TRUE
0755976N,Université de Paris,Université,Universités et assimilés,IDEx,Udice,TRUE
0640251A,Université de Pau et des Pays de l'Adour,Université,Universités et assimilés,ISITE,AUREF,TRUE
0660437S,Université de Perpignan Via Domitia,Université,Universités et assimilés,,AUREF,TRUE
0801344B,Université de Picardie Jules-Verne,Université,Universités et assimilés,,AUREF,TRUE
0860856N,Université de Poitiers,Université,Universités et assimilés,,AUREF,TRUE
0511296G,Université de Reims Champagne-Ardenne,Université,Universités et assimilés,,AUREF,TRUE
0350936C,Université de Rennes 1,Université,Universités et assimilés,,ex CURIF,TRUE
0761904G,Université de Rouen Normandie,Université,Universités et assimilés,,AUREF,TRUE
0673021V,Université de Strasbourg,Université,Universités et assimilés,IDEx,Udice,TRUE
0830766G,Université de Toulon,Université,Universités et assimilés,,AUREF,TRUE
0370800U,Université de Tours,Université,Universités et assimilés,,AUREF,TRUE
0781944P,Université de Versailles Saint-Quentin-en-Yvelines,Université,Universités et assimilés,,,TRUE
9710585J,Université des Antilles,Université,Universités et assimilés,,,FALSE
0595964M,Université du Littoral Côte d’Opale,Université,Universités et assimilés,,AUREF,TRUE
0383546Y,Université Grenoble Alpes,Université,Universités et assimilés,IDEx,Udice,TRUE
0772894C,Université Gustave Eiffel,Université,Universités et assimilés,ISITE,,FALSE
0421095M,Université Jean Monnet,Université,Universités et assimilés,,,TRUE
0692437Z,Université Jean Moulin - Lyon 3,Université,Universités et assimilés,,,TRUE
0762762P,Université Le Havre Normandie,Université,Universités et assimilés,,AUREF,TRUE
0691775E,Université Lumière - Lyon 2,Université,Universités et assimilés,,AUREF,TRUE
0751718K,Université Panthéon-Assas,Université,Universités et assimilés,,,FALSE
0751717J,Université Paris 1 - Panthéon Sorbonne,Université,Universités et assimilés,,ex CURIF,TRUE
0931827F,Université Paris 8 - Vincennes - Saint-Denis,Université,Universités et assimilés,,AUREF,TRUE
0750736T,Université Paris Dauphine - PSL,Grand établissement,Universités et assimilés,,,FALSE
0921204J,Université Paris Nanterre,Université,Universités et assimilés,,ex CURIF,TRUE
0756036D,Université Paris sciences et lettres,Université,Universités et assimilés,,,FALSE
0941111X,Université Paris-Est Créteil,Université,Universités et assimilés,,,TRUE
0912408Y,Université Paris-Saclay,Université,Universités et assimilés,IDEx,Udice,FALSE
0341089Z,Université Paul-Valéry - Montpellier 3,Université,Universités et assimilés,,AUREF,TRUE
0597132G,Université Polytechnique Hauts-de-France,Université,Universités et assimilés,,,TRUE
0350937D,Université Rennes 2,Université,Universités et assimilés,,AUREF,TRUE
0730858L,Université Savoie Mont Blanc,Université,Universités et assimilés,,AUREF,TRUE
0751719L,Université Sorbonne Nouvelle - Paris 3,Université,Universités et assimilés,,,TRUE
0931238R,Université Sorbonne Paris Nord,Université,Universités et assimilés,,,TRUE
0311383K,Université Toulouse - Jean Jaurès,Université,Universités et assimilés,,ex CURIF,TRUE
0311382J,Université Toulouse Capitole,Université,Universités et assimilés,,AUREF,TRUE
0311384L,Université Toulouse III - Paul Sabatier,Université,Universités et assimilés,,ex CURIF,TRUE
0932560C,Campus Condorcet,Pôle de recherche et d'enseignement supérieur,Regroupements,,,TRUE
0755581J,HESAM Université,Communauté d'universités et établissements,Regroupements,,,TRUE
0142382N,Normandie Université,Communauté d'universités et établissements,Regroupements,,,TRUE
0772710C,Paris-Est Sup,Communauté d'universités et établissements,Regroupements,,,TRUE
0251985X,Université Bourgogne - Franche-Comté,Communauté d'universités et établissements,Regroupements,,,TRUE
0352756F,Université Bretagne Loire,Communauté d'universités et établissements,Regroupements,,,TRUE
0861420B,Université confédérale Léonard de Vinci,Communauté d'universités et établissements,Regroupements,,,TRUE
0694094A,Université de Lyon,Communauté d'universités et établissements,Regroupements,,,TRUE
0312758E,Université fédérale de Toulouse Midi-Pyrénées,Communauté d'universités et établissements,Regroupements,,,TRUE
0755698L,Université Paris Lumières,Communauté d'universités et établissements,Regroupements,,,TRUE
