uai - identifiant;exercice;Acquisitions d'immobilisations;Besoin en fonds de roulement;CAF / Acquisitions d'immobilisations;CAF / Produits encaissables;Capacité d'autofinancement CAF;Charges décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Produits encaissables;Ressources propres / Produits encaissables;Ressources propres encaissables;Résultat net comptable;Solde budgétaire;Trésorerie;Trésorerie en jours de charges décaissables;source;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0130221V;2010;210042.14;35718.6799999998;20.2866672373461;0.898967034175664;42610.5500000006;4695107.97;99.0540438207291;1827342.88;38.5519785418305;2649585.29;55.899063258905;482109.130000001;240.557678165599;3137345.2;4739945.78;55.2377554833549;2613239.66;;;3101626.52;237.818928624127;COFISUP Comptes financiers;;C;institut d'études politiques;GR20;instituts d'études politiques;0130221V;Institut d'études politiques d'Aix-en-Provence;13001;Aix-en-Provence;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0141720U;2010;6129699.24;576172.650000002;93.7227075108501;39.2901171213717;5744920.09;8875621.43;60.7013152570511;4485215.62;30.6748647959707;3723360.6;25.4644576020727;6232147.7;284.03005259768;7002620.05999999;14621794.26;64.7800951892206;9472012.24;5115468.7;;6426447.41;260.660178652978;COFISUP Comptes financiers;2012;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0141720U;École nationale supérieure d'ingénieurs de Caen;14118;Caen;A05;Caen;R28;Normandie
0251215K;2010;9283780.63;;58.2354806244491;2.94092789071581;5406454.27000001;178438247.75;97.0643592585926;25000472.7;13.5994098484272;150671191.19;81.960021553654;8153963.17000001;53.4644388716825;26500279.97;183834982.39;15.4967201506636;22790780.48;5026912.41000001;;27539612.26;55.56129663126;COFISUP Comptes financiers;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0251215K;Université de Franche-Comté;25056;Besançon;A03;Besançon;R27;Bourgogne-Franche-Comté
0311383K;2010;5754363.35;;;;;42376529.73;103.045930946829;21138197.33;51.4012175203102;19525787.54;47.4803615904603;1526805.42;222.058543669239;26139084.66;41123923.42;31.7086376871772;12278578.21;;;30448162.26;258.665315056227;COFISUP Comptes financiers;2011;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0311383K;Université Toulouse - Jean Jaurès;31555;Toulouse;A16;Toulouse;R76;Occitanie
0331765P;2010;15032652.72;55832.0500000054;18.1087973008134;1.76279437851118;2722232.61000001;147793207.31;95.7041782804168;27658579.07;17.9104414233737;111537358.01;72.2265345627522;6033949.14000001;60.6127907435559;24883774.3;154427121.12;88.9582634731953;35579897.07;;;24827942.25;60.4767930318488;COFISUP Comptes financiers;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0333298F;Université BORDEAUX 2 - VICTOR SEGALEN;;;;;;
0340112M;2010;;;;7.20664493677929;391341.31;5053155.39;93.0550794806265;2605224.4;47.9758378471056;1676341.66;30.8702373801304;1252080.24;240.512834258992;3375968.68;5430284.32;43.5565265208802;2154190.04;140013.9;;4352432.84;310.078693701125;COFISUP Comptes financiers;2011;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0340112M;École nationale supérieure de chimie de Montpellier;34172;Montpellier;A11;Montpellier;R76;Occitanie
0341088Y;2010;;;;3.7111315525413;6426480.14000004;166741194.7;96.2888696890299;25409286.15;14.6732272573109;139436048.84;80.5208308652473;8740444.17000004;50.3996873113443;23343622.4299999;173167672.69;12.5450040660242;16482372.08;1329110.69000004;;36059294.7;77.8532630484984;COFISUP Comptes financiers;2010;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0342321N;Université MONTPELLIER 2 - SCIENCES TECHNIQUES DU LANGUEDOC;;;;;;
0350937D;2010;;530378.460000001;;2.01858666882966;1821426.76000001;88582378.82;98.1709574637357;11363235.63;12.5932463831201;75340513.32;83.4957293646738;3377138.73000001;54.4227626692672;13391382.7199999;90232774.65;12.7950976735259;11080453.34;1215167.15000001;;12861004.26;52.267297348247;COFISUP Comptes financiers;2010;B;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0350937D;Université Rennes 2;35238;Rennes;A14;Rennes;R53;Bretagne
0352317D;2010;101560.39;;;;;2216010.29;104.693566048034;783463.76;37.014094778324;1002518.06;47.3631332862435;285332.97;108.957565174483;670697.46;2116663.3;49.5089875654763;529348.83;;;1058352.19;171.933672925318;COFISUP Comptes financiers;;B;institut d'études politiques;GR20;instituts d'études politiques;0352317D;Institut d'études politiques de Rennes;35238;Rennes;A14;Rennes;R53;Bretagne
0370800U;2010;;;;-0.423398498035584;;163584539.45;100.396187461266;22257018.56;13.6597249054921;138232319.81;84.8368552401751;3252997.31000001;66.5090916768785;30221830.92;162938995.58;14.4435319281474;21153801.85;;;33544069.28;73.8203315631244;COFISUP Comptes financiers;2010;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0370800U;Université François-Rabelais;37261;Tours;A18;Orléans-Tours;R24;Centre-Val de Loire
0561718N;2010;3985418.09;1207450.95000001;65.930953055919;4.09922360425722;2627624.13;61472907.67;95.9007763957428;8030619.09;12.5281629722766;51745314.87;80.725250504084;3684221.23;71.4226768899478;12195998.95;64100531.8;16.508692678272;10273354.51;1951471.78;;10988548.0;64.3515563186958;COFISUP Comptes financiers;2010;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0561718N;Université de Bretagne-Sud;56121;Lorient;A14;Rennes;R53;Bretagne
0590311T;2010;955629.15;209051.780000001;90.5591661786374;25.518128473153;865409.79;2525943.11;74.481871526847;1591880.43;46.9393919459104;915025.55;26.9811363482697;742692.37;330.278460309425;2317401.67;3391352.9;53.268001097733;1709022.31;524176.12;;2108349.89;300.484186439179;COFISUP Comptes financiers;;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590311T;École nationale supérieure de chimie de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France
0590338X;2010;633210.67;220858.41;69.9256062757124;10.0309025354716;442776.4;3971346.84;89.9690974645284;2010266.22;45.5416876851857;1853811.68;41.9972796228498;362792.44;196.093997571867;2163214.66;4414123.24;75.7341845308334;3200649.8;284574.5;;1942356.25;176.073326801141;COFISUP Comptes financiers;;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590338X;École nationale supérieure des arts et industries textiles;59512;Roubaix;A09;Lille;R32;Hauts-de-France
0590349J;2010;918227.36;368346.590000001;170.164509147277;16.264680392635;1562497.08;8078288.13;84.0902528624673;4108401.25;42.7660532050095;3861428.89;40.1952154398504;1504923.02;254.687590203594;5715110.38;9606687.88;55.591312497185;5233173.99;936137.23;;5346763.79;238.272630713903;COFISUP Comptes financiers;2012;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590349J;École centrale de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France
0593559Y;2010;;9667343.79000003;;;;;;;;;;;;21082716.24;;;;;;11415372.45;;COFISUP Comptes financiers;2011;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0597065J;Université LILLE 1 - SCIENCES TECHNOLOGIES;;;;;;
0640251A;2010;6572221.8;1838460.11;;-0.407049582336181;;97275370.23;100.247342451804;14348847.09;14.7872352952113;81391347.66;83.8780287568569;952834.409999998;23.9665468215407;6475985.31999999;97035360.59;16.5430276472372;12924494.23;;;4637525.21;17.1627110917448;COFISUP Comptes financiers;2010;A;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0640251A;Université de Pau et des Pays de l'Adour;64445;Pau;A04;Bordeaux;R75;Nouvelle-Aquitaine
