uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region;Capacité d'autofinancement;Charges de fonctionnement décaissables;Produits de fonctionnement encaissables;Résultat net comptable hors SIE;Subventions de la région;Subventions Union Européenne
0251215K;2010;9283780.63;0;0;2188275.61;3283545.72;;2.94092789071581;97.0643592585926;25000472.7;13.5994098484272;7288366.42;150671191.19;81.960021553654;2982150.14;8153963.17000001;53.4644388716825;26500279.97;3451848.75;28488392.76;15.4967201506636;5026912.41000001;;721860.17;27539612.26;55.56129663126;117923.23;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0251215K;Université de Franche-Comté;25056;Besançon;A03;Besançon;R27;Bourgogne-Franche-Comté;5406454.27000001;178438247.75;183834982.39;;1545141.72;1211668.72
0311381H;2010;9479997.69;0;0;3843506.04;5524418.86;;1.68750729104568;98.2103920465926;19886956.49;22.9930189923378;7173817.95;58116377.86;67.1933375312;3749415.97;6119634.3;124.060269507333;29272511.8;2499716.59;32247960.42;37.2846376354302;135684.39;;1200001.52;30160238.28;127.82255636232;195103.17;2010;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0311381H;Institut national polytechnique de Toulouse;31555;Toulouse;A16;Toulouse;R76;Occitanie;1459546.66;84943425.4;86491280.23;;4946582.61;897604.05
0311384L;2010;26591081.29;0;0;5879436.8;12545806.28;;2.37376533225961;97.626808178879;41074354.51;13.2519871417927;6313514.37;255202278.38;82.3369557962157;1403291.08;10598372.3400001;39.2348603925383;32978313.5500001;3763847.26;39623933.09;12.7840317414628;5297488.77000007;;2485342.19;33815167.16;40.230479362185;410229.95;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0311384L;Université de Toulouse 3 - Paul Sabatier;31555;Toulouse;A16;Toulouse;R76;Occitanie;7357453.47000007;302592968.58;309948644.46;;2735938.51;2363066.17
0350936C;2010;;;;;;3452336.64;;;;;;;;;;;28401385.13;;;;;;;24949048.49;;;2010;B;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0350936C;Université de Rennes 1;35238;Rennes;A14;Rennes;R53;Bretagne;;;;;;
0352317D;2010;101560.39;0;0;138640.56;143852.74;;;104.693566048034;783463.76;37.014094778324;;1002518.06;47.3631332862435;186597.66;285332.97;108.957565174483;670697.46;;1047938.57;49.5089875654763;;;60257.87;1058352.19;171.933672925318;;;B;institut d'études politiques;GR20;instituts d'études politiques;0352317D;Institut d'études politiques de Rennes;35238;Rennes;A14;Rennes;R53;Bretagne;;2216010.29;2116663.3;;;
0381838S;2010;17959171.58;0;0;11524382.95;16346308.99;;2.89157953460338;97.1082357173599;43814159.53;17.2448922134468;1275284.14;191911203.05;75.5346683960493;2960110.83;11228140.61;32.9845691113884;22605721.83;3292005.73;50899313.9;20.0335506000723;2245450.04999996;;1316003.25;37351423.45;54.5003878867627;2937775.15;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0383493R;Université GRENOBLE 1 - JOSEPH FOURIER;;;;;;;7346646.49999996;246723242.96;254070358.85;;6301660.25;4293662.63
0381840U;2010;486436.05;0;0;709354.44;112492.66;;2.34827698921322;95.0858502463046;4734663.08;40.2487286948829;1858462.09;5637972.75;47.9276416863633;1146144.67;1536466.32;249.075284912793;7738930.42;799999.5;5932701.88;50.4330940472626;88541.879999999;;58527.56;8938841.86;287.694094950901;44187.29;2012;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0383493R;Université GRENOBLE 3 - STENDHAL;;;;;;;276239.789999999;11185433.16;11763509.64;;38780.65;
0440984F;2010;;;;;;;;;;;;;;;;;23332858.0500001;;;;;;;26273791.2400001;;;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0440984F;Université de Nantes;44109;Nantes;A17;Nantes;R52;Pays de la Loire;;;;;;
0490970N;2010;11475024.23;0;0;1459434.4;4233555.61;2653935.41999996;0.61221674725251;99.3812765851851;17785890.91;14.9925869939746;677702.95;97863349.6;82.4937468594732;2654781.05;2119341.95;73.1066992420024;23941882.39;2240832.79;15555726.6;13.112673719024;;;838908.86;21287946.97;65.0028895499677;93710.07;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0490970N;Université d'Angers;49007;Angers;A17;Nantes;R52;Pays de la Loire;726280.279999998;117897234.45;118631233.67;;1648616.17;652561.21
0511296G;2010;9377635.9;0;0;1381343.69;3023350.19;;7.0068374119639;93.0107440833242;19614327.72;43.7109468873412;1900470.7;19767805.38;44.0529751199894;2867632.35;4510322.37;196.560595996524;22788214.1;2607857.21;18735067.64;41.7514970807669;1543928.38;;934504.73;27622622.39;238.259966144751;251873.69;2011;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0511296G;Université de Reims Champagne-Ardenne;51454;Reims;A19;Reims;R44;Grand Est;3144164.45;41736529.31;44872804.45;;4568850.55;665124.1
