uai;uo_lib;sigle;type_d_etablissement;url;coordonnees;element_wikidata;rattachement_identifiants;rattachement;dernier_decret_legifrance;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;numero_telephone_uai
0060836B;Villa Arson;;École de formation artistique;https://www.villa-arson.org/;[43.721842, 7.252986];https://www.wikidata.org/entity/Q1107189;;;;06088;Nice;UU06701;Nice;D006;Alpes-Maritimes;A23;Nice;R93;Provence-Alpes-Côte d'Azur;;20  AVENUE STEPHEN LIEGEARD;;;06105;NICE CEDEX 2;France;
0060931E;Université Nice - Sophia-Antipolis;;Université;http://unice.fr/;[43.7167, 7.26827];https://www.wikidata.org/entity/Q1198571;;;;06088;Nice;UU06701;Nice;D006;Alpes-Maritimes;A23;Nice;R93;Provence-Alpes-Côte d'Azur;GRAND CHATEAU;28 AVENUE VALROSE;;BP 2135;06103;NICE CEDEX 2;France;0492076060
0141408E;Université de Caen Normandie;;Université;http://www.unicaen.fr/;[49.1887, -0.363108];https://www.wikidata.org/entity/Q568554;;;;14118;Caen;UU14601;Caen;D014;Calvados;A05;Caen;R28;Normandie;;ESPLANADE DE LA PAIX;;CS 14032;14032;CAEN CEDEX 5;France;0231565500
0141720U;École nationale supérieure d'ingénieurs de Caen;ENSI Caen;Institut ou école extérieur aux universités;http://www.ensicaen.fr/;[49.2118, -0.367419];https://www.wikidata.org/entity/Q3578208;;;"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=4CDB3AA29A7C409BB10ADEC6C3F60536.tpdila11v_2?cidTexte=JORFTEXT000031056872&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031056523";14118;Caen;UU14601;Caen;D014;Calvados;A05;Caen;R28;Normandie;;6 BOULEVARD MARECHAL JUIN;;CS 45053;14050;CAEN CEDEX;France;0231452750
0171427J;Groupe Sup de Co La Rochelle;;École de commerce et de management;http://www.esc-larochelle.fr/;[46.140712, -1.156011];https://www.wikidata.org/entity/Q3578436;;;;17300;La Rochelle;UU17601;La Rochelle;D017;Charente-Maritime;A13;Poitiers;R75;Nouvelle-Aquitaine;;102 RUE DES COUREILLES;;;17000;LA ROCHELLE;France;
0171435T;École d'ingénieurs en génie des systèmes industriels;EIGSI;École d'ingénieurs;http://www.eigsi.fr/;[46.203182, -0.816317];https://www.wikidata.org/entity/Q3577771;;;;17300;La Rochelle;UU17601;La Rochelle;D017;Charente-Maritime;A13;Poitiers;R75;Nouvelle-Aquitaine;;26 RUE VAUX DE FOLETIER;;;17041;LA ROCHELLE CEDEX 1;France;0546458000
0251985X;Université Bourgogne - Franche-Comté;;Communauté d'universités et établissements;http://www.ubfc.fr/;[47.248103, 5.991326];https://www.wikidata.org/entity/Q3359833;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030348096&dateTexte=&categorieLien=id;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R27;Bourgogne-Franche-Comté;;32 AVENUE DE L'OBSERVATOIRE;;;25000;BESANCON;France;
0290125D;École nationale supérieure de techniques avancées Bretagne;ENSTA Bretagne;École d'ingénieurs;https://www.ensta-bretagne.fr/fr;[48.418823, -4.472605];https://www.wikidata.org/entity/Q3578240;;;;29019;Brest;UU29701;Brest;D029;Finistère;A14;Rennes;R53;Bretagne;;2  RUE FRANCOIS VERNY;;;29806;BREST CEDEX 9;France;
0310150V;École nationale supérieure d'architecture de Toulouse;ENSA Toulouse;Établissement supérieur d'architecture;http://www.toulouse.archi.fr/fr/index.html;[43.579717, 1.397345];https://www.wikidata.org/entity/Q3578191;;;;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;;83  RUE ARISTIDE MAILLOL;;BP 10629;31106;TOULOUSE CEDEX 1;France;
0310152X;Institut national des sciences appliquées de Toulouse;INSA Toulouse;Institut ou école extérieur aux universités;http://www.insa-toulouse.fr/;[43.5704, 1.46794];https://www.wikidata.org/entity/Q858979;;;Abrogé;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;;135 AVENUE DE RANGUEIL;;;31077;TOULOUSE CEDEX 04;France;0561559513
