"Groupe";"UAI";"Etablissement";"Type";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper"
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2010";NA;2897;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2011";NA;2912;NA;NA;NA;60667;33188;24155;3324;4128;NA;NA;NA;NA;NA;556556922,4;462726005,61;477691313,52;26987797,51;5693088,33;53945917,75;0,858297317478482;9705,75174650786;444,851360871644;NA;NA;NA;NA
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2012";3979;2906;2671;858;175;58679;32648;23046;2985;3740;NA;NA;NA;NA;NA;574053267,1;476387556,5;485077693,87;28563424,96;8764009,77;37526085,76;0,845004674079312;10307,2730832765;486,774228599669;3281,17175964058;5,53201422056236;NA;NA
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2013";3953;2916;2662;848;149;58728;32611;23169;2948;3629;NA;NA;NA;NA;NA;585401349,7;482518659,4;483482803,5;29567960,34;20389569,98;76234285,03;0,825899707521634;10494,8252007888;503,472965876584;7659,49285499624;5,49480100394407;NA;NA
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2014";4007;2922;2675;884;162;60984;34143;23935;2906;3425;NA;NA;NA;NA;NA;604056601;495390996;490089573;27489067,45;44261541,89;35506674;0,811330547814012;10400,7817245773;450,758681785386;16546,3708;5,31010021006233;NA;NA
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2015";4114;2890;2697;976;210;62175;34170;25109;2896;3558;3383;855;764;1764;2345;612857975;499856820;490662169;NA;NA;72925220;0,800613174691902;10338,534303885;NA;NA;5,22950792017409;0,69827931172469;0,45124716553288
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2016";4091;2861;2647;1006;186;62629;34602;25310;2717;3603;3417;907;798;1712;2337;619331168;502649735;499767368;NA;NA;58787717;0,806946903082391;10337,3475764455;NA;NA;5,0857924956603;0,692328183271177;0,455114544485882
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2017";4086;2827;2616;1010;186;63095;35401;25061;2633;3261;3621;1109;838;1674;2301;634890534;500350155;507334893;34362521;55981109;98004220;0,799090340508999;10500,6538652377;544,615595530549;21399,5064984709;4,98329529291125;0,665369144933178;0,46983261969638
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2018";4072;2832;2630;1006;196;64403;36043;25804;2556;3256;3772;1217;841;1714;2409;646368001;517705407;509486637;33944350;74459004;45759093;0,788229980772207;10451,0809093408;527,061627563933;28311,408365019;4,89595291606707;0,668154003059663;0,480877103518613
"Universités et assimilés";"0134009M";"Aix-Marseille Université";"Université";"2019";4047;2835;2607;1003;172;70389;41501;26202;2686;3773;3708;1268;865;1575;2400;645711456;524639196;514734049;30339770;63157697;72808227;0,7971579940499;9537,41275866653;431,029990481467;24226,197545071;4,44145754250181;0,67504835589942;0,478143133462282
